example_type,scan_date,symbol,trade_bucket,source_bucket,reason_codes,kumo_rank_by_score,kumo_score,george_rank,george_watchlist_rank,best_entry_assumption,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_deployable_exit_policy_id,best_deployable_total_equity_ret_40d_pct,model_combined_score
video_context_optimal,2025-09-17,XLK,optimal,kumo_with_george_video_context,realistic_entry_triggered;target4_before_stop2;normal_winner,21.0,8.0,22.0,,next_open,3.4006,5.9611,-0.4837,swinglow3_after8,8.8998,-0.0762037570385551
kumo_addition_optimal,2025-09-18,APLD,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,61.0,8.0,,,next_open,84.7159,102.1116,-0.4525,giveback35_after8,18.6928,0.1055624359670964
kumo_addition_optimal,2025-09-18,IREN,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,37.0,8.0,,,next_open,69.1656,101.9886,-0.2179,time10_lt2_hard6,33.0019,1.0103476540222172
kumo_addition_optimal,2025-09-18,QBTS,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,19.0,8.0,,,next_open,75.2144,100.4717,-2.0583,giveback35_after8,11.1743,0.7566064431697754
kumo_addition_optimal,2025-09-19,APLD,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,59.0,8.0,,,next_open,71.2,101.0,-0.65,giveback35_after8,18.2325,0.6917505683877305
kumo_addition_optimal,2025-09-19,PL,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,95.0,8.0,,,next_open,20.442,54.512,-1.2891,swinglow3_after8,36.0958,1.1836798140825435
kumo_addition_optimal,2025-09-19,QBTS,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,21.0,8.0,,,next_open,57.1662,90.8942,-6.7374,fixed_t4_s2,-2.0,1.1187704907914633
kumo_addition_optimal,2025-09-22,KTOS,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,67.0,8.0,,,next_open,7.2569,38.815,-2.7437,swinglow3_after8,20.8706,0.1061767343575898
kumo_addition_optimal,2025-09-22,RGTI,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,13.0,8.0,,,next_open,49.0303,97.8568,-3.1984,fixed_t8_s4,8.0,-0.0200780554742147
kumo_addition_optimal,2025-09-22,UEC,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,91.0,8.0,,,next_open,13.5776,33.5266,-7.5769,giveback35_after8,8.4115,1.0964059221105416
kumo_addition_optimal,2025-09-23,GLD,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,7.0,8.0,,,next_open,9.1001,16.3254,-1.3153,swinglow3_after8,11.1105,-0.0873916909686009
kumo_addition_optimal,2025-09-23,GLDM,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,77.0,8.0,,,next_open,9.1567,16.3023,-1.3273,swinglow3_after8,11.1141,0.1611042887464058
kumo_addition_optimal,2025-09-23,IAU,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,57.0,8.0,,,next_open,9.1127,16.2676,-1.3521,swinglow3_after8,11.0845,0.2762254128591338
kumo_addition_optimal,2025-09-24,CIEN,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,62.0,8.0,,,next_open,22.2809,32.176,-0.6245,time10_lt2_hard6,40.3464,0.1770087251375258
kumo_addition_optimal,2025-09-24,EOSE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,59.0,8.0,,,next_open,49.4071,88.1917,-3.4585,swinglow3_after8,51.581,1.1144935505589468
kumo_addition_optimal,2025-09-24,RGTI,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,5.0,8.0,,,next_open,21.0465,95.0364,-4.5782,swinglow3_after8,57.2028,0.6609463752129487
kumo_addition_optimal,2025-09-25,CDTX,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,76.0,8.0,,,next_open,13.7181,43.342,-1.7384,time10_lt2_hard6,159.6381,0.6489413533641741
kumo_addition_optimal,2025-09-25,QURE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,23.0,8.0,,,next_open,16.3333,27.7255,-3.5294,fixed_t8_s4,8.0,0.2395028591884764
kumo_addition_optimal,2025-09-25,UAMY,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,92.0,8.0,,,next_open,83.2693,205.1084,-7.8947,fixed_t4_s2,-2.0,0.7828675874863595
kumo_addition_optimal,2025-09-26,CAT,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,11.0,8.0,,,next_open,11.6754,16.4309,-0.1325,time10_lt2_hard6,17.5931,-0.7327667056903779
kumo_addition_optimal,2025-09-26,EOSE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,57.0,8.0,,,next_open,53.9332,82.544,-1.986,swinglow3_after8,47.032,1.0001749565073932
kumo_addition_optimal,2025-09-26,HOOD,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,91.0,7.0,,,next_open,12.8531,24.3011,-2.3429,giveback35_after8,15.7957,-0.2481773987966639
video_context_optimal,2025-09-26,PLTR,optimal,kumo_with_george_video_context,realistic_entry_triggered;target4_before_stop2;normal_winner,2.0,8.0,8.0,,next_open,2.7945,4.7651,-5.6892,giveback35_after8,10.5004,-0.2709283784127041
video_context_optimal,2025-09-26,SMH,optimal,kumo_with_george_video_context,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;normal_winner,98.0,7.0,6.0,,next_open,8.2657,8.7123,-0.6853,swinglow3_after8,11.041,-0.1999376529161879
kumo_addition_optimal,2025-09-29,EOSE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,42.0,8.0,,,next_open,40.2736,73.1364,-1.8182,swinglow3_after8,39.4545,1.0347732013294009
kumo_addition_optimal,2025-09-29,LEU,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,30.0,8.0,,,next_open,16.7992,50.7354,-4.6008,swinglow3_after8,20.1338,-0.0272021578889417
kumo_addition_optimal,2025-09-29,RGTI,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,6.0,8.0,,,next_open,38.193,99.0079,-1.9507,giveback35_after8,64.3551,0.798708927369763
kumo_addition_optimal,2025-09-30,CIEN,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,54.0,8.0,,,next_open,26.904,29.1781,-0.7245,time10_lt2_hard6,36.0557,-0.2775824977223043
