variant_id,family,symbol,entry_time,entry_date,entry_price,quantity,status,exit_time,exit_date,exit_price,pnl,total_fees,mae,mfe,duration_days,decision_score,decision_rank,decision_gap,decision_vol,decision_tdist,decision_cond,entry_in_baseline
industry_top3_focus,industry_warmup,EZU,2025-03-05T20:51:00Z,2025-03-05,55.527750,85.000000,closed,2025-04-07T13:31:00Z,2025-04-07,47.836,-653.790,2.000,-661.530,59.690,32.694,7.000,862.000,0.034,7.366,0.000,11111101,True
industry_top3_focus,industry_warmup,KLAC,2025-05-13T19:51:00Z,2025-05-13,795.277440,5.000000,open,,,,,,,,,7.000,175.000,0.045,9.617,0.000,10111111,True
industry_top3_focus,industry_warmup,AU,2025-05-23T13:36:00Z,2025-05-23,44.182080,107.000000,open,,,,,,,,,7.000,889.000,0.030,3.814,0.000,11111101,True
industry_top3_focus,industry_warmup,GLW,2025-05-27T19:51:00Z,2025-05-27,49.849913,96.000000,open,,,,,,,,,7.000,577.000,0.030,10.907,0.000,10111111,True
industry_top3_focus,industry_warmup,ATI,2025-05-27T19:51:00Z,2025-05-27,79.469715,60.000000,open,,,,,,,,,7.000,741.000,0.050,8.930,0.000,10111111,True
industry_top3_focus,industry_warmup,NTES,2025-05-27T19:51:00Z,2025-05-27,124.217078,38.000000,open,,,,,,,,,7.000,861.000,0.037,9.971,0.000,11101111,True
industry_top3_focus,industry_warmup,NEM,2025-06-02T13:31:00Z,2025-06-02,54.797385,88.000000,open,,,,,,,,,7.000,191.000,0.039,4.998,0.000,11111101,True
industry_top3_focus,industry_warmup,URBN,2025-06-02T19:51:00Z,2025-06-02,72.866415,67.000000,open,,,,,,,,,7.000,639.000,0.043,8.654,0.000,11101111,True
industry_top3_focus,industry_warmup,PAAS,2025-06-05T13:31:00Z,2025-06-05,28.524255,174.000000,open,,,,,,,,,8.000,711.000,0.071,13.256,0.000,11111111,True
industry_top3_focus,industry_warmup,MP,2025-06-09T13:31:00Z,2025-06-09,27.123555,181.000000,closed,2025-06-11T13:31:00Z,2025-06-11,25.218,-344.890,2.000,-600.480,326.970,2.000,8.000,650.000,0.055,10.339,0.000,11111111,True
industry_top3_focus,industry_warmup,QBTS,2025-06-10T13:36:00Z,2025-06-10,18.683937,267.000000,open,,,,,,,,,7.000,46.000,0.042,6.078,0.000,11111101,True
industry_top3_focus,industry_warmup,JLL,2025-08-22T19:51:00Z,2025-08-22,304.472160,17.000000,open,,,,,,,,,8.000,893.000,0.040,7.742,0.000,11111111,True
industry_top3_focus,industry_warmup,RUN,2025-10-01T14:16:00Z,2025-10-01,18.679335,341.000000,open,,,,,,,,,7.000,733.000,0.080,6.488,0.000,11101111,True
industry_top8_broad,industry_warmup,MRVL,2025-01-03T14:31:00Z,2025-01-03,117.038490,42.000000,closed,2025-03-06T14:31:00Z,2025-03-06,74.044,-1805.770,2.000,-1888.260,428.040,62.000,7.000,36.000,0.031,9.238,0.000,11111101,True
industry_top8_broad,industry_warmup,VST,2025-01-03T14:36:00Z,2025-01-03,156.258090,32.000000,closed,2025-03-03T20:01:00Z,2025-03-03,123.788,-1039.040,2.000,-1039.040,1373.500,59.226,7.000,147.000,0.043,6.013,0.000,11111101,True
industry_top8_broad,industry_warmup,RBLX,2025-01-03T14:36:00Z,2025-01-03,60.765368,82.000000,open,,,,,,,,,7.000,244.000,0.031,3.036,0.000,11111101,True
industry_top8_broad,industry_warmup,CEG,2025-01-03T20:51:00Z,2025-01-03,253.106790,19.000000,closed,2025-01-08T17:31:00Z,2025-01-08,236.351,-318.350,2.000,-318.350,273.940,4.861,8.000,192.000,0.043,7.340,0.000,11111111,True
