feature,qc_status,deployability_class,safe_for_qc_handoff,used_in_feature_sets,handoff_note
d_overextended_tenkan_10,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_rapid_run_10d_15,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_rapid_run_20d_30,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_extension_reversal_warning,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_no_chase_risk,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_kijun_overhead_pct,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_ma200_overhead_pct,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_kijun_overhead_within3,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_ma200_overhead_within3,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
daily_breakout_quality_score,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_tenkan,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_kijun,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
