scope,indicator,bucket,closed_trades,win_rate,win_rate_ci_low,win_rate_ci_high,avg_return_pct,median_return_pct,avg_duration_days,total_pnl,sample_confidence
family:entry_trigger,duration_days,hold_0_1d,1004,0.4243027888446215,0.39407625594385376,0.45510639339310566,-0.5003313337905114,-0.177400879508815,0.9926785911907924,-19629.91046689998,high
family:entry_trigger,duration_days,hold_1_3d,713,0.37868162692847124,0.34381680836664813,0.4148467513374761,-0.45868360717325585,-0.34249692967280004,2.5226741467975686,-12531.709054949988,high
family:entry_trigger,duration_days,hold_3_7d,1902,0.49631966351209256,0.4738794293361849,0.5187747345775424,0.02710254561554445,-0.01543331199902,5.315754980137867,4439.880693750009,high
family:entry_trigger,duration_days,hold_7_14d,591,0.5279187817258884,0.487619328273788,0.5678576255909049,1.373108094665639,0.19395807846326998,10.54661943034405,30988.85306475002,high
family:entry_trigger,duration_days,hold_14_30d,453,0.565121412803532,0.5191106408636161,0.6100369674102364,3.400300076907389,0.38316108077391,19.758692052980134,56464.78123265,medium
family:entry_trigger,duration_days,hold_30d_plus,141,0.46099290780141844,0.380840007686035,0.5432149599475731,3.774508905849136,-0.30628162060286,90.2040730890465,18735.664832099992,medium
family:exit_target,duration_days,hold_0_1d,163,0.5214723926380368,0.4451756967230056,0.5967802662982074,0.5277169944463498,0.02088575259762,0.9939502385821406,3562.0084042000058,medium
family:exit_target,duration_days,hold_1_3d,71,0.6338028169014085,0.5175700445451693,0.7362994611842647,1.8900677524686342,0.6004228823871299,2.686570813771518,5303.051448799996,low
family:exit_target,duration_days,hold_3_7d,57,0.7894736842105263,0.6671363132153347,0.875255734331081,4.183423089759827,3.9515131706613498,5.416240253411306,9647.3137248,low
family:exit_target,duration_days,hold_7_14d,83,0.9156626506024096,0.8360028865648162,0.9585471908174522,5.503148746507895,5.12268739264594,11.165746318607765,18336.771093199994,low
family:exit_target,duration_days,hold_14_30d,175,0.9485714285714286,0.9051610787757354,0.9727107362829535,6.339595028605038,6.57549174196896,22.06779761904762,43824.94400550001,medium
family:exit_target,duration_days,hold_30d_plus,232,0.9181034482758621,0.8756400030610824,0.9469460038181113,6.477959048862944,6.05723188748028,111.9677023467433,59231.89920669999,medium
family:risk_stack,duration_days,hold_0_1d,1512,0.4351851851851852,0.41039036066538404,0.4603085303005322,-0.3747900044953742,-0.14107153339389,0.9968125367430923,-28730.13667944994,high
family:risk_stack,duration_days,hold_1_3d,928,0.3793103448275862,0.34864950935235584,0.4109662880106294,-0.5901399068566922,-0.21921874149952997,2.5328289631226055,-25955.33232484999,high
family:risk_stack,duration_days,hold_3_7d,1825,0.4849315068493151,0.4620575876191132,0.5078687307673453,-0.04158118960401068,-0.04457087769608,5.241689497716894,-4409.707685649987,high
family:risk_stack,duration_days,hold_7_14d,640,0.51875,0.48004296826675297,0.557233281046743,1.2048522737213925,0.16558527215059,10.644151475694445,36981.66848355002,high
family:risk_stack,duration_days,hold_14_30d,461,0.5986984815618221,0.553315558733726,0.6424500526057066,3.629454842346162,0.48151940429317,19.166531091829352,75272.79729914998,medium
family:risk_stack,duration_days,hold_30d_plus,142,0.5,0.418850590194875,0.581149409805125,4.149705660737556,-0.02124671339909,96.34032668231613,23958.04179024999,medium
